Rating_point,Features,Price,Discount,Pagenum,Ratings,reviews,BrandName
4.1,HD Ready | LED,5499,9990,1,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,1,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,1,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,1,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,1,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,1,60,5,Reliance
3.8,HD Ready | LED,6399,16999,1,6,0,VW
3.9,HD Ready | QLED,6899,11999,1,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,1,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,1,973,124,KODAK
4.1,HD Ready | LED,6299,9999,1,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,1,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,1,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,1,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,1,172,30,VW
3.7,Full HD | LED,8099,19990,1,1358,127,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,1,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,36999,68999,1,113,22,Lumio
3.9,HD Ready | LED,8990,21490,1,16,0,Reliance
3.9,HD Ready | LED,10490,28990,1,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,1,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,43999,84999,1,42,4,PHILIPS
3.7,HD Ready | LED,11990,29990,1,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,1,844,160,VW
4.1,HD Ready | LED,5499,9990,2,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,2,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,2,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,2,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,2,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,2,60,5,Reliance
4.0,HD Ready | LED,4999,12999,2,5653,674,Foxsky
3.8,HD Ready | LED,6399,16999,2,6,0,VW
3.9,HD Ready | QLED,6899,11999,2,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,2,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,2,973,124,KODAK
4.1,HD Ready | LED,6299,9999,2,13638,1318,KODAK
4.0,HD Ready | LED,5290,19990,2,333,39,Uniboom
4.0,HD Ready | LED,5190,19990,2,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,2,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,2,172,30,VW
4.0,Ultra HD (4K) | QLED,40990,69990,2,14871,827,XIAOMI
4.0,Ultra HD (4K) | QLED,36999,68999,2,113,22,Lumio
3.7,Full HD | LED,8099,19990,2,1358,127,Reliance
3.9,HD Ready | LED,8990,21490,2,16,0,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,2,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,27999,40999,2,113,22,Lumio
3.9,HD Ready | LED,10490,28990,2,453,44,Reliance
3.7,HD Ready | LED,11990,29990,2,30,1,Reliance
4.1,HD Ready | LED,5499,9990,3,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,3,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,3,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,3,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,3,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,3,60,5,Reliance
3.8,HD Ready | LED,6399,16999,3,6,0,VW
3.9,HD Ready | QLED,6899,11999,3,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,3,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,3,973,124,KODAK
4.1,HD Ready | LED,6299,9999,3,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,3,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,3,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,3,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,3,172,30,VW
3.7,Full HD | LED,8099,19990,3,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,3,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,3,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,3,16,0,Reliance
3.9,HD Ready | LED,10490,28990,3,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,3,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,3,113,22,Lumio
3.7,HD Ready | LED,11990,29990,3,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,3,844,160,VW
4.1,HD Ready | LED,5499,9990,4,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,4,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,4,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,4,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,4,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,4,60,5,Reliance
3.8,HD Ready | LED,6399,16999,4,6,0,VW
3.9,HD Ready | QLED,6899,11999,4,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,4,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,4,973,124,KODAK
4.1,HD Ready | LED,6299,9999,4,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,4,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,4,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,4,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,4,172,30,VW
3.7,Full HD | LED,8099,19990,4,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,4,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,4,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,4,16,0,Reliance
3.9,HD Ready | LED,10490,28990,4,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,4,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,4,113,22,Lumio
3.7,HD Ready | LED,11990,29990,4,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,4,844,160,VW
4.1,HD Ready | LED,5499,9990,6,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,6,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,6,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,6,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,6,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,6,60,5,Reliance
4.0,HD Ready | LED,4999,12999,6,5653,674,Foxsky
3.8,HD Ready | LED,6399,16999,6,6,0,VW
3.9,HD Ready | QLED,6899,11999,6,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,6,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,6,973,124,KODAK
4.1,HD Ready | LED,6299,9999,6,13638,1318,KODAK
4.0,HD Ready | LED,5290,19990,6,333,39,Uniboom
4.0,HD Ready | LED,5190,19990,6,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,6,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,6,172,30,VW
4.0,Ultra HD (4K) | QLED,40990,69990,6,14871,827,XIAOMI
4.0,Ultra HD (4K) | QLED,36999,68999,6,113,22,Lumio
3.7,Full HD | LED,8099,19990,6,1358,127,Reliance
3.9,HD Ready | LED,8990,21490,6,16,0,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,6,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,27999,40999,6,113,22,Lumio
3.9,HD Ready | LED,10490,28990,6,453,44,Reliance
3.7,HD Ready | LED,11990,29990,6,30,1,Reliance
4.1,HD Ready | LED,5499,9990,7,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,7,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,7,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,7,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,7,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,7,60,5,Reliance
3.8,HD Ready | LED,6399,16999,7,6,0,VW
3.9,HD Ready | QLED,6899,11999,7,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,7,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,7,973,124,KODAK
4.1,HD Ready | LED,6299,9999,7,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,7,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,7,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,7,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,7,172,30,VW
3.7,Full HD | LED,8099,19990,7,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,7,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,7,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,7,16,0,Reliance
3.9,HD Ready | LED,10490,28990,7,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,7,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,7,113,22,Lumio
3.7,HD Ready | LED,11990,29990,7,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,7,844,160,VW
4.1,HD Ready | LED,5499,9990,8,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,8,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,8,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,8,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,8,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,8,60,5,Reliance
4.0,HD Ready | LED,4999,12999,8,5653,674,Foxsky
3.8,HD Ready | LED,6399,16999,8,6,0,VW
3.9,HD Ready | QLED,6899,11999,8,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,8,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,8,973,124,KODAK
4.1,HD Ready | LED,6299,9999,8,13638,1318,KODAK
4.0,HD Ready | LED,5290,19990,8,333,39,Uniboom
4.0,HD Ready | LED,5190,19990,8,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,8,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,8,172,30,VW
4.0,Ultra HD (4K) | QLED,40990,69990,8,14871,827,XIAOMI
4.0,Ultra HD (4K) | QLED,36999,68999,8,113,22,Lumio
3.7,Full HD | LED,8099,19990,8,1358,127,Reliance
3.9,HD Ready | LED,8990,21490,8,16,0,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,8,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,27999,40999,8,113,22,Lumio
3.9,HD Ready | LED,10490,28990,8,453,44,Reliance
3.7,HD Ready | LED,11990,29990,8,30,1,Reliance
4.1,HD Ready | LED,5499,9990,9,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,9,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,9,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,9,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,9,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,9,60,5,Reliance
3.8,HD Ready | LED,6399,16999,9,6,0,VW
3.9,HD Ready | QLED,6899,11999,9,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,9,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,9,973,124,KODAK
4.1,HD Ready | LED,6299,9999,9,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,9,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,9,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,9,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,9,172,30,VW
3.7,Full HD | LED,8099,19990,9,1358,127,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,9,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,36999,68999,9,113,22,Lumio
3.9,HD Ready | LED,8990,21490,9,16,0,Reliance
3.9,HD Ready | LED,10490,28990,9,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,9,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,43999,84999,9,42,4,PHILIPS
3.7,HD Ready | LED,11990,29990,9,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,9,844,160,VW
4.1,HD Ready | LED,5499,9990,10,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,10,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,10,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,10,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,10,1358,127,Reliance
